,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
24,0.8433953285217285,0.04581082091162315,0.017218637466430663,0.003175125025452839,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.8240697855368881,0.8846510085578004,0.8932778174285008,0.8546645713438905,0.8846336360752107,0.8682593637884581,0.025691489024058076,31,-151085.18114706676,-137732.29992346666,-121950.65754100474,-134023.06528295818,-130680.6257965265,-135094.36593820457,9550.400246245099,29
35,4.4603352546691895,0.16639839749322827,0.027947092056274415,0.011720713859519645,0.1,0.05,9,1000,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 1000}",0.8268466065840775,0.8796216071531793,0.8923413407693609,0.8613092981581579,0.8808786526474924,0.8681995010624537,0.022941624156542467,33,-149888.10092544858,-140702.93905294477,-122484.54141930469,-130923.45922659189,-132790.31513604335,-135357.87115206665,9291.67691604584,37
8,6.810223245620728,4.933524882177329,0.023345136642456056,0.006907748733308674,0.01,0.05,9,1000,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 1000}",0.8268466065840775,0.8796216071531793,0.8923413407693609,0.8613092981581579,0.8808786526474924,0.8681995010624537,0.022941624156542467,33,-149888.10092544858,-140702.93905294477,-122484.54141930469,-130923.45922659189,-132790.31513604335,-135357.87115206665,9291.67691604584,37
25,2.481400394439697,0.06733330880885532,0.01487579345703125,0.0017883486154803062,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.8241691603347917,0.8843880076205074,0.89331893002532,0.8546223794190015,0.8844806742333008,0.8681958303265842,0.025616944100198,35,-151042.5046228166,-137889.22847175554,-121927.16574649043,-134042.51780329758,-130767.23044945319,-135133.72941876267,9543.084235116585,31
52,2.1559138774871824,0.03974166252325664,0.009017419815063477,0.0073627102238840855,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.8241691603347917,0.8843880076205074,0.89331893002532,0.8546223794190015,0.8844806742333008,0.8681958303265842,0.025616944100198,35,-151042.5046228166,-137889.22847175554,-121927.16574649043,-134042.51780329758,-130767.23044945319,-135133.72941876267,9543.084235116585,31
53,4.574443531036377,0.15546507118066374,0.02337303161621094,0.006824082661201328,0.1,0.1,9,1000,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1000}",0.8241035094397084,0.8843427271460638,0.8932934911539948,0.8546210307769082,0.8844707157518676,0.8681662948537087,0.025627681650110597,37,-151070.6997625637,-137916.2286052529,-121941.70208643425,-134043.13954604534,-130772.86680061654,-135148.92736018254,9549.494905560325,33
26,4.653509521484375,0.18431836524517417,0.02338542938232422,0.006518089895619468,0.01,0.1,9,1000,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 1000}",0.8241035094397084,0.8843427271895028,0.8932934911539948,0.8546214504017545,0.8844662518369943,0.868165486004391,0.02562706936456559,38,-151070.6997625637,-137916.2285793533,-121941.70208643425,-134042.9460934685,-130775.39323064726,-135149.3939504934,9549.267889826795,34
33,0.9818418025970459,0.04638413376496321,0.009165239334106446,0.0019195848312648512,0.1,0.05,9,200,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 200}",0.8267812737596754,0.8800016564587819,0.8913771492497382,0.8605011986937893,0.8804369755482142,0.8678196507420399,0.022804657463845652,39,-149916.37553572794,-140480.65527839743,-123031.8049262074,-131304.32654518867,-133036.26675244208,-135553.8858075927,9074.732368954365,39
6,0.7466446876525878,0.04716169672864031,0.00973372459411621,0.007956563899527204,0.01,0.05,9,200,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 200}",0.8267812737596754,0.8800016564587819,0.8913771492497382,0.8605011986937893,0.8804369755482142,0.8678196507420399,0.022804657463845652,39,-149916.37553572794,-140480.65527839743,-123031.8049262074,-131304.32654518867,-133036.26675244208,-135553.8858075927,9074.732368954365,39
43,2.368588399887085,0.19010020127284025,0.015934085845947264,0.0010100293571193729,0.1,0.01,9,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.818553633908813,0.879149905601965,0.8912474065164454,0.854861699304212,0.8794831095270839,0.8646591509717038,0.025916696597876442,41,-153435.4781206606,-140978.34106974446,-123105.25963144572,-133932.14231080137,-133565.88986153633,-137003.42219883768,10002.207289578746,41
16,2.3145774364471436,0.09863118240237861,0.006638193130493164,0.006141728091334981,0.01,0.01,9,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.818553633908813,0.879149905601965,0.8912474065164454,0.854861699304212,0.8794831095270839,0.8646591509717038,0.025916696597876442,41,-153435.4781206606,-140978.34106974446,-123105.25963144572,-133932.14231080137,-133565.88986153633,-137003.42219883768,10002.207289578746,41
38,0.475800609588623,0.00861393667329188,0.006784772872924805,0.007284938103359363,0.1,0.01,3,1000,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.8257283057852034,0.8848392698797148,0.8826246014783539,0.8494625493603664,0.8710420744266207,0.8627393601860518,0.022355561934540052,43,-150371.34358460866,-137619.8574428833,-127892.5766035704,-136400.5360646171,-138164.23040811086,-138089.70882075807,7181.917241402764,43
11,0.5180924415588379,0.009014905491530646,0.008192348480224609,0.0041864681386301434,0.01,0.01,3,1000,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.8257283057852034,0.8848392698797148,0.8826246014783539,0.8494625493603664,0.8710420744266207,0.8627393601860518,0.022355561934540052,43,-150371.34358460866,-137619.8574428833,-127892.5766035704,-136400.5360646171,-138164.23040811086,-138089.70882075807,7181.917241402764,43
27,0.10816807746887207,0.009535181594078065,0.006891775131225586,0.0063388017870646155,0.1,0.05,3,200,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.8252009778856232,0.8881829963688898,0.8839768540119891,0.8432669834471296,0.8677227502997152,0.8616701124026693,0.02410738928511594,45,-150598.67571422775,-135607.22346135165,-127153.73327925267,-139179.10672860514,-139931.0784759157,-138493.96353187057,7562.973859498201,45
0,0.11229462623596191,0.023028599027209263,0.010443735122680663,0.006294774054296115,0.01,0.05,3,200,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.8252009778856232,0.8881829963688898,0.8839768540119891,0.8432669834471296,0.8677227502997152,0.8616701124026693,0.02410738928511594,45,-150598.67571422775,-135607.22346135165,-127153.73327925267,-139179.10672860514,-139931.0784759157,-138493.96353187057,7562.973859498201,45
10,0.2709020137786865,0.022814648657645917,0.0068074226379394535,0.004696597866338952,0.01,0.01,3,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.7971537531599395,0.8532479524008979,0.8566839958687265,0.8282349787762837,0.838305452133856,0.8347252264679407,0.021409511283708053,47,-162231.48436715666,-155353.47909680998,-141320.16718544107,-145700.54032868668,-154710.32242762455,-151863.19868114375,7442.088284386662,47
37,0.25702557563781736,0.009680964354095507,0.009082841873168945,0.003728478963393935,0.1,0.01,3,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.7971537531599395,0.8532479524008979,0.8566839958687265,0.8282349787762837,0.838305452133856,0.8347252264679407,0.021409511283708053,47,-162231.48436715666,-155353.47909680998,-141320.16718544107,-145700.54032868668,-154710.32242762455,-151863.19868114375,7442.088284386662,47
42,1.0729190826416015,0.018430407415384258,0.006855821609497071,0.007251903766543036,0.1,0.01,9,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.7930415098639247,0.8252795244923785,0.8428258947579106,0.8282499276480024,0.8185821417738351,0.8215957997072103,0.016327852188213962,49,-163867.6694787275,-169512.13752233377,-147995.08601611597,-145694.1999630439,-163874.59101145944,-158188.73679833612,9516.539134326842,49
15,1.124565315246582,0.027481422129530274,0.006252145767211914,0.007657283493650373,0.01,0.01,9,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.7930415098639247,0.8252795244923785,0.8428258947579106,0.8282499276480024,0.8185821417738351,0.8215957997072103,0.016327852188213962,49,-163867.6694787275,-169512.13752233377,-147995.08601611597,-145694.1999630439,-163874.59101145944,-158188.73679833612,9516.539134326842,49
39,0.27781453132629397,0.004783630852588983,0.003135395050048828,0.006270790100097655,0.1,0.01,6,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.7837215302738709,0.8329664977249269,0.8400602896971496,0.8417652314968904,0.8055556590152453,0.8208138416416165,0.022652705132777038,51,-167516.77273971686,-165741.2814986118,-149291.45463058545,-139844.295901003,-169656.0132004618,-158409.96359407582,11755.73944410693,51
12,0.29898805618286134,0.017716881737896827,0.009682416915893555,0.005006405293340847,0.01,0.01,6,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.7837215302738709,0.8329664977249269,0.8400602896971496,0.8417652314968904,0.8055556590152453,0.8208138416416165,0.022652705132777038,51,-167516.77273971686,-165741.2814986118,-149291.45463058545,-139844.295901003,-169656.0132004618,-158409.96359407582,11755.73944410693,51
36,0.11085562705993653,0.006278928562518392,0.006141138076782226,0.005873392600993812,0.1,0.01,3,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7037461216229344,0.7532155499138524,0.7541799153723249,0.7579169202276328,0.7206487182192746,0.7379414450712038,0.02174564026142677,53,-196057.59722374607,-201459.51981118295,-185082.55196641298,-172972.08345952965,-203351.2925794075,-191784.60900805582,11353.230221245893,53
9,0.13379192352294922,0.004820777181123888,0.0054915428161621095,0.005716621218482934,0.01,0.01,3,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7037461216229344,0.7532155499138524,0.7541799153723249,0.7579169202276328,0.7206487182192746,0.7379414450712038,0.02174564026142677,53,-196057.59722374607,-201459.51981118295,-185082.55196641298,-172972.08345952965,-203351.2925794075,-191784.60900805582,11353.230221245893,53
